title,country,date_added,platform,startYear,averageRating,numVotes,media,Action,Comedy,Drama,Horror,Romance,Sci.Fi,Thriller,budget,revenue
Shine Your Eyes,Brazil,"July 29, 2020",netflix,2020,6.5,333,Movie,0,0,1,0,0,0,1,7571646.55247107,8865931.837410443
W/O Ram,India,"October 26, 2018",netflix,2018,6,259,Movie,0,0,0,0,0,0,1,7181458.758559126,13109123.080401132
Final Destination 3,United States,"January 1, 2020",netflix,2006,5.8,142682,Movie,0,0,0,1,0,0,1,25000000,117719158
Martial Arts of Shaolin,Hong Kong,"August 16, 2018",netflix,1986,6.4,2355,Movie,1,1,1,0,0,0,0,10000000,19591522.888240658
The Clovehitch Killer,United States,"May 4, 2021",netflix,2018,6.5,28185,Movie,0,0,1,0,0,0,0,17074176.26011388,16418337.485390948
Flipped,United States,"June 2, 2021",netflix,2010,7.7,90174,Movie,0,1,1,0,1,0,0,14000000,1755212
Mundeyan Ton Bachke Rahin,India,"November 1, 2018",netflix,2014,5.3,55,Movie,0,1,0,0,1,0,0,6470404.885962151,12685856.113285327
Alaska Is a Drag,United States,"December 31, 2020",netflix,2017,6.6,430,Movie,0,0,1,0,0,0,0,6974550.113192723,6767534.3777157245
The Whole Truth,United States,"May 1, 2021",netflix,2016,6.2,29404,Movie,0,0,1,0,0,0,0,15275274.995970434,10136476.825777218
Maine Pyaar Kyun Kiya,India,"December 31, 2019",netflix,2005,5.6,5305,Movie,0,1,1,0,1,0,0,8382120.927910615,15113837.907087404
Gypsy,United States,"June 30, 2017",netflix,2017,6.8,16605,TV Show,0,0,1,0,0,0,1,NA,NA
Money Talks,United States,"November 1, 2019",netflix,1997,6.2,29742,Movie,1,1,0,0,0,0,0,27217671.485176507,50098406.24764682
Aerials,United Arab Emirates,"May 7, 2020",netflix,2016,1.5,399,Movie,0,0,1,0,0,1,1,10960344.747552501,21523223.05541922
Room on the Broom,United Kingdom,"July 1, 2019",netflix,2012,7.5,4276,Movie,0,1,0,0,0,0,0,20233525.895030808,68783468.71617453
Almost Happy,Argentina,"May 2, 2020",netflix,2020,6.9,969,TV Show,0,1,0,0,0,0,0,NA,NA
Fiza,India,"August 2, 2018",netflix,2000,6,4267,Movie,0,0,1,0,1,0,0,1000000,623791
Dean,United States,"March 15, 2020",netflix,2016,6.3,2578,Movie,0,1,1,0,1,0,0,5919262.433426684,7696802.99282124
Hot Bot,United States,"March 1, 2016",netflix,2016,3.3,3678,Movie,0,1,0,0,0,1,0,10821888.56178565,27512339.665653646
Sister Cities,United States,"December 16, 2016",netflix,2016,6.6,1491,Movie,0,0,1,0,0,0,0,6060285.060280849,5460259.1172100445
Trumbo,United States,"May 19, 2020",netflix,2015,7.4,81677,Movie,0,0,1,0,0,0,0,15000000,8235661
Shimla Mirchi,India,"January 27, 2020",netflix,2020,4.6,1579,Movie,0,1,0,0,1,0,0,9860901.255773146,18323757.88639528
Stargate,United States,"May 1, 2021",netflix,1994,7,190949,Movie,1,0,0,0,0,1,0,55000000,196567262
Department,India,"July 27, 2021",netflix,2012,3.2,1074,Movie,1,0,0,0,0,0,1,10240561.75308906,32219793.34221063
21,United States,"January 1, 2020",netflix,2008,6.8,251762,Movie,0,0,1,0,0,0,0,35000000,69823199
Eat Pray Love,United States,"September 10, 2019",netflix,2010,5.8,97698,Movie,0,0,1,0,1,0,0,60000000,204594016
Containment,United States,"October 21, 2016",netflix,2016,7.1,10955,TV Show,0,0,1,0,0,0,0,NA,NA
Ottaal,India,"March 15, 2017",netflix,2014,8.2,672,Movie,0,0,1,0,0,0,0,4292147.5634921575,16346028.083934996
The Visit,NA,"February 26, 2020",netflix,2015,6.2,5,Movie,0,1,0,0,1,0,1,7108181.368571527,14111223.11605535
The Worthy,United Arab Emirates,"December 1, 2017",netflix,2016,5.1,2055,Movie,1,0,0,0,0,1,1,20834490.36913439,62240046.68838956
Demon Slayer: Kimetsu no Yaiba,Japan,"January 22, 2021",netflix,2019,8.7,98962,TV Show,1,0,0,0,0,0,0,NA,NA
Nacho Libre,United States,"November 1, 2019",netflix,2006,5.8,88075,Movie,0,1,0,0,0,0,0,32000000,80197993
The Witch: Part 1 - The Subversion,South Korea,"June 10, 2020",netflix,2018,7.1,12239,Movie,1,0,0,0,0,1,0,29367365.508810733,86452126.73416512
Operation Finale,United States,"February 20, 2021",netflix,2018,6.6,42770,Movie,0,0,1,0,0,0,0,26627782.50427343,32898570.07936507
Something's Gotta Give,United States,"August 1, 2019",netflix,2003,6.7,122491,Movie,0,1,1,0,1,0,0,80000000,266728738
Death House,United States,"May 5, 2019",netflix,2017,2.9,1620,Movie,1,0,0,1,0,0,0,9934656.362511972,31654857.44436119
Skin,Nigeria,"June 28, 2020",netflix,2019,6.1,18,Movie,0,0,1,0,0,0,0,7374391.320555863,6151756.982360716
Kalki,India,"March 1, 2018",netflix,2017,6.6,53,Movie,0,0,1,0,0,1,0,11358634.731269771,20827822.573670574
Bh Se Bhade,India,"April 1, 2018",netflix,2013,6.8,15,TV Show,0,1,0,0,0,0,0,NA,NA
Big Stone Gap,United States,"June 5, 2020",netflix,2014,5.7,3164,Movie,0,1,0,0,1,0,0,7809837.177869852,13199439.826077947
The Princess and the Frog,United States,"July 16, 2019",netflix,2009,7.1,144872,Movie,0,1,0,0,0,0,0,105000000,267045765
5 Flights Up,United States,"March 17, 2019",netflix,2014,6.2,10651,Movie,0,1,1,0,0,0,0,6000000,1020921
The Ruthless,Italy,"April 19, 2019",netflix,2019,6.2,6356,Movie,0,0,1,0,0,0,0,7868537.919689437,6651981.782419969
Sid the Science Kid,United States,"March 31, 2020",netflix,2008,5.4,706,TV Show,0,1,0,0,0,0,0,NA,NA
Revenger,South Korea,"January 15, 2019",netflix,2018,5.7,4397,Movie,1,0,0,0,0,0,1,11184410.707522137,27115123.216415025
21,United States,"January 1, 2020",netflix,2008,6.8,251762,Movie,0,0,1,0,0,0,0,35000000,69823199
Hasee Toh Phasee,India,"April 1, 2020",netflix,2014,6.8,15338,Movie,0,1,0,0,1,0,0,8822033.959836042,17666848.731193516
The App That Stole Christmas,United States,"November 20, 2020",netflix,2020,3.5,734,Movie,0,1,0,0,0,0,0,9653317.332198406,22336385.982637655
Great News,United States,"October 25, 2018",netflix,2017,7,7467,TV Show,0,1,0,0,0,0,0,NA,NA
Journey to Greenland,France,"January 29, 2017",netflix,2016,6.3,1358,Movie,0,1,1,0,0,0,0,5586307.711190867,8114633.216235124
Kismat Konnection,India,"October 1, 2018",netflix,2008,5.3,5712,Movie,0,1,1,0,1,0,0,4180000,11000000
R.K.Nagar,India,"April 29, 2020",netflix,2019,5.1,142,Movie,0,1,0,0,0,0,0,8454972.311169462,16097346.019748988
House of the Witch,United States,"October 11, 2020",netflix,2017,4.3,3831,Movie,0,0,0,1,0,0,0,8322623.578119802,29069449.579169016
Wyatt Earp,United States,"January 1, 2020",netflix,1994,6.7,51421,Movie,1,0,0,0,0,0,0,63000000,25052000
Blind Intersections,Lebanon,"June 10, 2021",netflix,2012,6.7,177,Movie,0,0,1,0,0,0,0,4962396.044466538,7504737.676063348
Leyla Everlasting,Turkey,"December 4, 2020",netflix,2020,3.7,7555,Movie,0,1,0,0,0,0,0,12675337.98748894,22018306.571218897
Gun City,Spain,"October 31, 2018",netflix,2018,6.3,3987,Movie,0,0,0,0,0,0,1,10435109.031975757,12076355.277141957
Chal Mere Bhai,India,"December 31, 2019",netflix,2000,4.7,3405,Movie,0,1,0,0,1,0,0,14245943.096671578,24953584.294963665
The White Tiger,India,"January 22, 2021",netflix,2021,7.1,60315,Movie,0,0,1,0,0,0,0,11229288.268579237,16405701.229955543
Kaakan,India,"March 1, 2018",netflix,2015,8.6,92,Movie,0,0,0,0,1,0,0,8436872.969520181,32041228.420238234
Great Pretender,Japan,"November 25, 2020",netflix,2020,7.9,5218,TV Show,1,0,0,0,0,0,0,NA,NA
Paranormal,Egypt,"November 5, 2020",netflix,2020,8,72215,TV Show,0,0,1,1,0,0,0,NA,NA
The Block Island Sound,United States,"March 11, 2021",netflix,2020,5.3,8050,Movie,0,0,0,1,0,1,0,10965744.950540192,36134200.77488379
Red Dot,Sweden,"February 11, 2021",netflix,2021,5.5,13514,Movie,0,0,1,1,0,0,1,9639623.888772307,14649358.03336488
The Kissing Booth 2,United Kingdom,"July 24, 2020",netflix,2020,5.7,31975,Movie,0,1,0,0,1,0,0,18911620.317001425,32651669.06763578
Back to School,NA,"August 30, 2019",netflix,2019,5.3,1282,Movie,0,1,0,0,0,0,0,8129200.942895402,14136370.012180872
Rilakkuma and Kaoru,Japan,"April 19, 2019",netflix,2019,8.2,1685,TV Show,0,1,1,0,0,0,0,NA,NA
God's Own Country,United Kingdom,"May 1, 2018",netflix,2017,7.6,31155,Movie,0,0,1,0,1,0,0,8347609.992500709,19296805.1258051
The Silence,Canada,"April 10, 2019",netflix,2019,5.3,45540,Movie,0,0,1,1,0,1,0,20346727.181873474,33364516.69394233
Contract,India,"March 2, 2019",netflix,2008,4,254,Movie,1,0,1,0,0,0,0,9397140.009954814,23303699.88339319
An Interview with God,United States,"March 1, 2019",netflix,2018,5.8,4055,Movie,0,0,1,0,0,0,0,9834926.229961224,8203066.841439633
"As Above, So Below",United States,"September 16, 2018",netflix,2014,6.2,94218,Movie,0,0,0,1,0,0,1,5000000,40100000
Deadly Illusions,United States,"March 18, 2021",netflix,2021,3.7,12243,Movie,0,0,1,0,0,0,1,11795761.00398198,21481748.0856245
Love O2O,China,"April 1, 2019",netflix,2016,6.4,1081,Movie,0,0,1,0,1,0,0,6689388.813832519,5305511.461463199
The Cruise,Poland,"October 1, 2019",netflix,1970,7.5,3454,Movie,0,1,0,0,0,0,0,5462319.550475596,30227969.73342442
Close,United Kingdom,"January 18, 2019",netflix,2019,5.7,25055,Movie,1,0,1,0,0,0,1,18578853.76699443,35166706.84746384
Bitch,United States,"March 11, 2018",netflix,2017,5.9,13,Movie,0,1,1,0,0,0,0,19242238.07781347,46244780.2767892
Santa Girl,United States,"November 1, 2019",netflix,2019,5,1301,Movie,0,1,0,0,1,0,0,19162796.9251267,42273311.18616988
H2O: Mermaid Adventures,Germany,"July 15, 2015",netflix,2015,5.6,208,TV Show,0,1,0,0,0,0,0,NA,NA
Answer for Heaven,NA,"June 27, 2019",netflix,2019,7.1,12,TV Show,0,0,1,0,0,0,0,NA,NA
Results,United States,"October 22, 2015",netflix,2015,5.4,7270,Movie,0,1,0,0,1,0,0,8734214.517472798,104507
Cool Hand Luke,United States,"January 1, 2021",netflix,1967,8.1,177169,Movie,0,0,1,0,0,0,0,3000000,16217773
Puss in Book: Trapped in an Epic Tale,United States,"June 20, 2017",netflix,2017,5.2,596,Movie,1,0,0,0,0,0,0,67525269.03609158,152805991.74289593
Teshan,India,"October 15, 2017",netflix,2016,5.3,54,Movie,0,0,1,0,0,0,0,6262710.827864606,4786605.448382681
The Decline,Canada,"March 27, 2020",netflix,2020,6.6,7,Movie,0,0,1,0,0,0,0,6998978.252673007,6744289.2982157245
The Womanizer,China,"September 1, 2016",netflix,2010,6.1,49,TV Show,0,0,1,0,0,0,0,NA,NA
Reply 1997,South Korea,"August 8, 2019",netflix,2012,8,2153,TV Show,0,1,1,0,1,0,0,NA,NA
Haider,India,"August 2, 2018",netflix,2014,8,55176,Movie,1,0,1,0,0,0,0,16725131.697959404,35857338.93169612
Age of Samurai: Battle for Japan,United States,"February 24, 2021",netflix,2021,7.4,4221,TV Show,1,0,0,0,0,0,0,NA,NA
Saavat,India,"August 23, 2019",netflix,2019,6.6,181,Movie,0,0,1,0,0,0,1,6558630.871266176,9359054.738504305
Villain,United Kingdom,"September 5, 2020",netflix,2020,5.9,3269,Movie,1,0,1,0,0,0,0,10317277.231748996,19806771.342812978
The Angel,Israel,"September 14, 2018",netflix,2018,6.7,14318,Movie,1,0,1,0,0,0,0,14916770.839263704,30302899.027108513
What Did I Mess,Lebanon,"October 19, 2020",netflix,2018,7.2,710,Movie,0,1,0,0,1,0,0,8265363.30636833,23737415.419478923
The Larva Island Movie,South Korea,"July 23, 2020",netflix,2020,5.1,670,Movie,0,1,0,0,0,0,0,34203611.8808667,89956554.38516195
Home Is Where the Killer Is,United States,"October 9, 2019",netflix,2019,4.4,542,Movie,0,0,0,0,0,0,1,7665774.83855697,16581972.575144459
The Mistress,Philippines,"February 27, 2019",netflix,2012,6.4,369,Movie,0,0,1,0,0,0,0,5713743.251866577,8129467.125415477
Naam Shabana,India,"August 28, 2018",netflix,2017,6.2,6908,Movie,1,0,1,0,0,0,1,9782320.394682657,21762086.55402019
9,United States,"November 16, 2017",netflix,2009,7,140563,Movie,1,0,0,0,0,0,0,30000000,48428063
ARQ,Canada,"September 16, 2016",netflix,2016,6.3,39500,Movie,1,0,0,0,0,1,1,27480316.32805139,60210409.602104954
Swordfish,United States,"June 2, 2021",netflix,2001,6.5,187987,Movie,1,0,0,0,0,0,1,102000000,147080413
"Plaire, aimer et courir vite",France,"July 13, 2019",netflix,2018,6.8,3696,Movie,0,1,1,0,1,0,0,6678168.68919343,9778561.462277297
Forgive Us Our Debts,Italy,"May 4, 2018",netflix,2018,6.2,1622,Movie,0,0,1,0,0,0,0,8154449.553978734,5593993.965932506
The Discovery,United States,"March 31, 2017",netflix,2017,6.2,34613,Movie,0,0,1,0,1,1,0,16275841.833503855,20488014.795961738
The Art of War,United States,"July 1, 2020",netflix,2000,5.7,30066,Movie,1,0,0,0,0,0,0,40000000,30199105
Sarvopari Palakkaran,India,"July 1, 2018",netflix,2017,4.9,159,Movie,0,1,0,0,0,0,0,8592786.684224078,17260809.033383083
Beowulf,United States,"August 1, 2021",netflix,2007,6.3,168553,Movie,1,0,0,0,0,0,0,70000000,195735876
Fatma,Turkey,"April 27, 2021",netflix,2021,7.4,8602,TV Show,0,0,1,0,0,0,1,NA,NA
Wakefield,United States,"March 2, 2019",netflix,2016,6.3,16954,Movie,0,0,1,0,0,0,0,9768177.674681274,6844542.558209082
Squared Love,Poland,"February 11, 2021",netflix,2021,5.1,3231,Movie,0,1,0,0,1,0,0,9573517.777778288,16002881.974522071
Dhanak,India,"September 2, 2021",netflix,2015,7.8,4102,Movie,0,1,1,0,0,0,0,4999242.390027176,15550063.163902182
Mad World,Hong Kong,"September 20, 2018",netflix,2016,7.2,1935,Movie,0,0,1,0,0,0,0,4743876.1733884625,5741863.707788796
Secret Obsession,United States,"July 18, 2019",netflix,2019,4.4,21927,Movie,0,0,0,0,0,0,1,13732128.632859973,20133494.71937337
Fools Rush In,United States,"June 2, 2021",netflix,1997,6.1,36101,Movie,0,1,1,0,1,0,0,21942630.518369474,29481428
Bon Cop Bad Cop 2,Canada,"November 11, 2017",netflix,2017,6.6,4201,Movie,1,1,0,0,0,0,0,11414216.403296236,29384508.350394163
Rumble in the Bronx,Hong Kong,"November 1, 2019",netflix,1995,6.7,42689,Movie,1,1,0,0,0,0,0,7500000,32392047
68 Kill,United States,"September 1, 2019",netflix,2017,6,6015,Movie,0,1,0,0,0,0,1,9528005.281150242,14693722.204913069
The Darkest Dawn,United Kingdom,"June 23, 2018",netflix,2016,4,2127,Movie,1,0,0,0,0,1,0,34630524.343700595,89402520.4051118
Remember Me,United States,"August 1, 2020",netflix,2010,7.1,147760,Movie,0,0,1,0,1,0,0,16000000,56032889
Murder Party,United States,"September 1, 2018",netflix,2007,5.8,11651,Movie,0,1,0,1,0,0,0,190000,19320756.599574294
Sweet Tooth,United States,"June 4, 2021",netflix,2021,7.8,51384,TV Show,1,0,1,0,0,0,0,NA,NA
Pegasus,China,"May 31, 2019",netflix,2019,6.3,1873,Movie,0,1,0,0,0,0,0,13167097.622188209,23540974.67749909
Unrest,United Kingdom,"May 7, 2021",netflix,2017,7.5,3038,Movie,0,0,1,0,0,0,0,6685692.705480883,15813673.497368583
This Earth of Mankind,Indonesia,"April 23, 2020",netflix,2019,6.9,769,Movie,0,0,1,0,0,0,0,9585978.458817758,9685579.96659451
I'm in Love with a Church Girl,United States,"October 1, 2017",netflix,2013,4.2,1945,Movie,0,0,1,0,1,0,0,8216634.559419128,14242195.729731055
Shattered Memories,United States,"October 23, 2020",netflix,2018,4.1,338,Movie,0,0,0,0,0,0,1,8426682.842521897,17053211.67177262
Jinxed,United States,"November 2, 2019",netflix,2013,6.3,1527,Movie,0,1,0,0,0,0,0,10271805.891256183,32019479.435458023
Tarung Sarung,Indonesia,"December 31, 2020",netflix,2020,6,205,Movie,1,0,1,0,0,0,0,21367194.666505363,52897810.0502055
Kara Bela,Turkey,"April 23, 2021",netflix,2015,6.7,9118,Movie,1,1,0,0,0,0,0,28908591.38203286,61860765.1359066
A Very Country Christmas,United States,"November 15, 2020",netflix,2017,6,1673,Movie,0,1,1,0,1,0,0,7933104.450238144,8628036.223776978
The Forest of Love: Deep Cut,Japan,"April 30, 2020",netflix,2020,6.9,473,TV Show,0,0,1,1,0,0,0,NA,NA
The Expanding Universe of Ashley Garcia,United States,"December 9, 2020",netflix,2020,6.8,1250,TV Show,0,1,0,0,0,0,0,NA,NA
Janaan,Pakistan,"September 15, 2017",netflix,2016,6.8,1497,Movie,0,0,1,0,1,0,0,10383059.06014883,26054957.841634687
The Princess and the Frog,United States,"July 16, 2019",netflix,2009,7.1,144872,Movie,0,1,0,0,0,0,0,105000000,267045765
The Imaginarium of Doctor Parnassus,United Kingdom,"March 8, 2019",netflix,2009,6.8,149855,Movie,0,1,0,0,0,0,0,30000000,64352607
Dead Set,United Kingdom,"September 1, 2016",netflix,2008,7.6,19957,TV Show,0,1,1,1,0,0,0,NA,NA
Handsome: A Netflix Mystery Movie,United States,"May 5, 2017",netflix,2017,5.2,4708,Movie,0,1,0,0,0,0,0,10661545.887549318,22518484.41815975
How to Be Really Bad,Germany,"March 1, 2021",netflix,2018,6.2,1205,Movie,0,1,0,0,0,0,0,12980286.229968615,35806486.52601547
Haunted: Latin America,United States,"March 31, 2021",netflix,2021,5.3,596,TV Show,0,0,0,1,0,0,0,NA,NA
Power Rangers Lost Galaxy,United States,"January 1, 2016",netflix,1999,6.8,2415,TV Show,1,0,0,0,0,0,0,NA,NA
Camp X-Ray,United States,"January 14, 2017",netflix,2014,6.9,41636,Movie,0,0,1,0,0,0,0,1000000,59744
Angamaly Diaries,India,"September 5, 2021",netflix,2017,7.9,6191,Movie,1,1,0,0,0,0,1,15415790.048665477,60946004.17684894
Cloud Atlas,Germany,"August 1, 2017",netflix,2012,7.4,362351,Movie,0,0,1,0,0,1,0,102000000,130482868
The Laundromat,United States,"October 18, 2019",netflix,2019,5.6,7,Movie,0,0,1,0,0,0,0,5509131.499783295,11629306.626296341
Fullmetal Alchemist,Japan,"January 1, 2018",netflix,2003,8.5,70733,TV Show,1,0,0,0,0,0,0,NA,NA
Darr Sabko Lagta Hai,India,"March 1, 2018",netflix,2015,6,65,TV Show,0,0,0,1,0,0,0,NA,NA
James Acaster: Repertoire,United Kingdom,"March 27, 2018",netflix,2018,8.4,3845,TV Show,0,1,0,0,0,0,0,NA,NA
Sprinter,Jamaica,"April 15, 2020",netflix,2018,6,483,Movie,0,0,1,0,0,0,0,9752883.26548043,19233652.21735031
The Boss Baby: Get That Baby!,United States,"September 1, 2020",netflix,2020,4.9,368,Movie,0,1,0,0,0,0,0,34432812.28138952,91556436.42442024
Rishta.com,India,"March 15, 2018",netflix,2010,8.6,503,TV Show,0,0,1,0,0,0,0,NA,NA
Cook Off,Zimbabwe,"June 1, 2020",netflix,2017,6,364,Movie,0,1,0,0,1,0,0,9023301.89029991,16828066.87720047
Mann,India,"September 28, 2020",netflix,1999,6.1,5536,Movie,0,0,1,0,1,0,0,7325669.695342951,9165225.271520829
Barah Aana,India,"December 31, 2019",netflix,2009,6.7,1256,Movie,0,1,1,0,0,0,0,7010286.20516111,12501564.342268618
The Roommate,United States,"April 1, 2020",netflix,2011,4.8,39024,Movie,0,0,0,1,0,0,1,16000000,40492759
Pyaar Tune Kya Kiya,India,"June 1, 2017",netflix,2014,7.2,79,TV Show,0,0,1,0,0,0,0,NA,NA
Power Rangers Zeo,United States,"January 1, 2016",netflix,1996,6.4,2786,TV Show,1,0,0,0,0,0,0,NA,NA
Zinzana,United Arab Emirates,"March 9, 2016",netflix,2015,6.7,1624,Movie,0,0,1,0,0,0,1,5515597.28940267,8914808.91178512
Advantageous,United States,"June 23, 2015",netflix,2015,6.1,5574,Movie,0,0,1,0,0,1,0,13619244.962643852,21612821.16531718
Hostage House,NA,"July 27, 2021",netflix,2021,3.9,889,Movie,0,0,0,0,0,0,1,8852057.76782388,19130311.987303548
New Money,Nigeria,"April 14, 2020",netflix,2018,5.3,70,Movie,0,0,1,0,0,0,0,7129387.267896413,6104303.162190414
Home Again,United States,"July 8, 2021",netflix,2017,5.8,32707,Movie,0,1,1,0,1,0,0,19082887.596762564,24862422.868538167
Buffalo Boys,Indonesia,"April 12, 2019",netflix,2018,5.8,1246,Movie,1,0,1,0,0,0,0,13378127.946765838,23018434.32454974
Cells at Work!,Japan,"January 1, 2020",netflix,2018,7.6,2359,TV Show,1,1,0,0,0,0,0,NA,NA
Mirai,Japan,"June 1, 2020",netflix,2018,7,15989,Movie,0,0,1,0,0,0,0,26055958.809654243,70181404.28127816
The Forbidden Kingdom,United States,"July 1, 2019",netflix,2008,6.5,106124,Movie,1,0,0,0,0,0,0,55000000,127906624
The I-Land,United States,"September 12, 2019",netflix,2019,4.6,17751,TV Show,0,0,1,0,0,0,0,NA,NA
Unstoppable,Mexico,"February 28, 2020",netflix,2020,7.2,970,TV Show,0,1,1,0,0,0,0,NA,NA
Sarkar,NA,"March 2, 2019",netflix,2018,6.7,20021,Movie,1,0,1,0,0,0,0,15252948.594802119,25410149.20188818
La Bamba,United States,"January 1, 2020",netflix,1987,6.9,33943,Movie,0,0,1,0,0,0,0,6500000,54215416
Zenda,India,"February 15, 2018",netflix,2009,7,453,Movie,0,0,1,0,0,0,1,6016182.3470481215,16515583.284542387
Love Is War,Nigeria,"April 29, 2020",netflix,2019,7.5,34,Movie,0,0,1,0,0,0,0,5884764.440380013,14887486.602746977
I Am Not Madame Bovary,China,"September 2, 2017",netflix,2016,6.9,2292,Movie,0,1,1,0,0,0,0,5006387.747271037,8646232.444078771
The Laws of Thermodynamics,Spain,"August 31, 2018",netflix,2018,6,2795,Movie,0,1,0,0,0,0,0,9536507.61581948,15313476.332631834
Trimurti,India,"March 1, 2018",netflix,1995,4.8,2728,Movie,1,0,1,0,0,0,0,13318545.28032787,16802059.46365974
Men in Black,United States,"October 19, 2019",netflix,1997,7.3,565696,Movie,1,1,0,0,0,0,0,90000000,589390539
Triple 9,United States,"December 8, 2020",netflix,2016,6.3,72580,Movie,1,0,0,0,0,0,1,20000000,12639297
Neruda,Chile,"June 26, 2017",netflix,2016,6.8,10451,Movie,0,0,1,0,0,0,0,7193390.013909457,939101
My Runway,South Korea,"December 30, 2016",netflix,2016,6.3,283,TV Show,0,1,1,0,0,0,0,NA,NA
Shanghai Fortress,China,"September 13, 2019",netflix,2019,4.4,2432,Movie,1,0,0,0,0,1,0,20611694.20895717,67456657.80605045
Jhankaar Beats,India,"April 15, 2019",netflix,2003,7.2,2091,Movie,0,1,0,0,1,0,0,8988350.799956676,30846458.07430215
I Am Sam,United States,"June 2, 2021",netflix,2001,7.6,150396,Movie,0,0,1,0,0,0,0,22000000,92542418
Sparkle,United States,"November 1, 2019",netflix,1976,6.7,1661,Movie,0,0,1,0,0,0,0,6778438.248296705,25704058.19904849
Hunt to Kill,Canada,"January 1, 2020",netflix,2010,5.1,6780,Movie,1,0,0,0,0,0,1,2300000,36079709.80801626
122,Egypt,"June 1, 2020",netflix,2019,6,5616,Movie,0,0,0,1,0,0,1,7139191.644180602,13928625.69603764
The Woods,Poland,"June 12, 2020",netflix,2020,6.6,6513,TV Show,0,0,1,0,0,0,0,NA,NA
Every Time I Die,United States,"February 25, 2020",netflix,2019,5.2,1311,Movie,0,0,0,0,0,0,1,7115038.927837577,13741861.759714117
Sanju,India,"October 15, 2018",netflix,2018,7.6,54869,Movie,0,1,1,0,0,0,0,18920278.888144705,38081658.62808691
Chaahat,India,"May 1, 2017",netflix,1996,5.5,2913,Movie,0,0,1,0,1,0,0,10847887.626097424,11765576.720330453
Rahasya,India,"March 1, 2018",netflix,2015,7.6,4919,Movie,0,0,0,0,0,0,1,8620783.371407801,23826100.703964543
Under the Shadow,United Kingdom,"January 7, 2017",netflix,2016,6.8,27823,Movie,0,0,1,1,0,0,0,9537480.654410508,12006186.318962106
Khushi,India,"March 1, 2018",netflix,2003,4.2,1658,Movie,1,1,1,0,0,0,0,11134966.90192453,20229640.195764106
We Are Legends,Hong Kong,"June 1, 2019",netflix,2019,5.2,201,Movie,1,0,0,0,0,0,0,10795471.763848472,33446914.698613945
Bobby Jasoos,India,"December 31, 2020",netflix,2014,5.5,2348,Movie,0,1,1,0,0,0,1,6813921.144149662,14014629.449692719
Gurgaon,India,"September 2, 2021",netflix,2017,6.5,2276,Movie,0,0,0,0,0,0,1,8088427.46546532,14612453.304556584
In Family We Trust,Thailand,"December 29, 2018",netflix,2018,8.3,456,TV Show,0,0,1,0,0,0,1,NA,NA
Oh! Baby,India,"September 14, 2019",netflix,2019,7.4,2459,Movie,0,1,1,0,0,0,0,5697306.090328434,18476214.009290274
Yes or No,Thailand,"December 6, 2018",netflix,2010,6.7,1988,Movie,0,1,0,0,1,0,0,9227897.693171443,21306719.530484956
Interrogation,India,"December 1, 2016",netflix,2015,6.7,6,Movie,0,0,1,0,0,0,0,4690035.717809509,6409543.037645806
Piercing,United States,"November 1, 2020",netflix,2018,5.5,7802,Movie,0,0,0,1,0,0,1,9636922.098740015,21459168.136513125
Away,United States,"September 4, 2020",netflix,2020,6.6,24128,TV Show,0,0,1,0,1,1,0,NA,NA
Caught by a Wave,Italy,"March 25, 2021",netflix,2021,5.8,1332,Movie,0,0,1,0,1,0,0,10957642.367994968,18679087.230907515
The Pink Panther,United States,"July 1, 2019",netflix,2006,5.6,86911,Movie,0,1,0,0,0,0,0,57105925.45470945,124962724.0004658
A Very Special Love,Philippines,"November 12, 2020",netflix,2008,6.5,397,Movie,0,1,0,0,1,0,0,8770193.133405196,21526706.577719405
Love Ni Bhavai,India,"May 1, 2018",netflix,2017,8.2,1832,Movie,0,1,1,0,1,0,0,8487894.353957666,24744521.3642491
The Bleeder,United States,"March 29, 2019",netflix,2016,6.5,6424,Movie,0,0,1,0,0,0,0,12717861.882468922,19148445.349599708
Brother in Love,Turkey,"October 4, 2019",netflix,2019,7.1,6536,Movie,0,1,0,0,0,0,0,18553441.113331504,55410744.10248199
Good Sam,United States,"May 16, 2019",netflix,2019,5.7,3035,Movie,0,1,1,0,1,0,0,9261746.83578459,9300359.768875482
Braven,Canada,"December 17, 2020",netflix,2018,5.9,40797,Movie,1,0,0,0,0,0,1,24864562.68707823,50490852.36677323
Oxygen,France,"May 12, 2021",netflix,2021,6.5,38779,Movie,0,0,1,0,0,1,0,17778649.281094566,25557568.87683851
Beneath the Leaves,United States,"June 8, 2019",netflix,2019,4.5,1539,Movie,0,0,0,0,0,0,1,7567459.197526337,15235824.66853084
Love Don't Cost a Thing,United States,"September 1, 2021",netflix,2003,5.2,8875,Movie,0,1,1,0,1,0,0,17526797.76742605,23945219.950261448
Rocky IV,United States,"August 1, 2019",netflix,1985,6.8,205280,Movie,0,0,1,0,0,0,0,31000000,300473716
Marianne,France,"September 13, 2019",netflix,2019,7.4,15539,TV Show,0,0,1,1,0,0,0,NA,NA
Squid Game,NA,"September 17, 2021",netflix,2021,8,436990,TV Show,1,0,1,0,0,0,0,NA,NA
Step Brothers,United States,"November 1, 2019",netflix,2008,6.9,294954,Movie,0,1,0,0,0,0,0,65000000,128107642
